date,dV
01/01/12,57.3
01/02/12,59.5
01/03/12,53.9
01/04/12,65.3
01/05/12,74.2
01/06/12,81.5
01/07/12,65
01/08/12,60
01/09/12,51.7
01/10/12,49.1
01/11/12,40.3
01/12/12,35.1
01/13/12,33.2
01/14/12,29
01/15/12,25.7
01/16/12,22.9
01/17/12,20.4
01/18/12,18.8
01/19/12,22.4
01/20/12,42.3
01/21/12,62.4
01/22/12,69.1
01/23/12,62
01/24/12,54.7
01/25/12,46.3
01/26/12,40.8
01/27/12,36.3
01/28/12,30.8
01/29/12,27.1
01/30/12,24.5
01/31/12,22.5
02/01/12,19.8
02/02/12,17.4
02/03/12,15.1
02/04/12,15.6
02/05/12,17.7
02/06/12,16.3
02/07/12,14.5
02/08/12,11.3
02/09/12,10.9
02/10/12,10.2
02/11/12,9.76
02/12/12,12.3
02/13/12,11.8
02/14/12,9.06
02/15/12,10.2
02/16/12,13.4
02/17/12,12.2
02/18/12,12.6
02/19/12,20.9
02/20/12,13.6
02/21/12,11
02/22/12,10.2
02/23/12,9.67
02/24/12,10
02/25/12,11.7
02/26/12,13.7
02/27/12,11.9
02/28/12,11.3
02/29/12,11.7
03/01/12,12.1
03/02/12,12.3
03/03/12,12
03/04/12,11.8
03/05/12,13.7
03/06/12,11.8
03/07/12,10.7
03/08/12,12.7
03/09/12,11.1
03/10/12,10.2
03/11/12,10.1
03/12/12,9.8
03/13/12,9.3
03/14/12,9.04
03/15/12,8.83
03/16/12,8.68
03/17/12,8.32
03/18/12,10.4
03/19/12,14
03/20/12,12
03/21/12,10.1
03/22/12,9.39
03/23/12,8.97
03/24/12,8.67
03/25/12,8.32
03/26/12,8.06
03/27/12,7.75
03/28/12,7.51
03/29/12,7.43
03/30/12,7
03/31/12,7.03
04/01/12,6.83
04/02/12,6.7
04/03/12,6.46
04/04/12,7.13
04/05/12,6.47
04/06/12,6.21
04/07/12,6.03
04/08/12,5.79
04/09/12,5.83
04/10/12,6.04
04/11/12,6.57
04/12/12,6.05
04/13/12,5.74
04/14/12,5.35
04/15/12,5.31
04/16/12,7.07
04/17/12,6.26
04/18/12,5.84
04/19/12,5.62
04/20/12,6.11
04/21/12,7.1
04/22/12,10.8
04/23/12,8.61
04/24/12,12.5
04/25/12,12.7
04/26/12,9.87
04/27/12,8.89
04/28/12,7.86
04/29/12,7.34
04/30/12,8.39
05/01/12,7.31
05/02/12,13.4
05/03/12,9.36
05/04/12,8.11
05/05/12,11.7
05/06/12,9.68
05/07/12,9.26
05/08/12,7.87
05/09/12,8.39
05/10/12,7.73
05/11/12,6.78
05/12/12,7.09
05/13/12,6.55
05/14/12,6.14
05/15/12,6.3
05/16/12,8.38
05/17/12,7.1
05/18/12,6.24
05/19/12,6.01
05/20/12,7.75
05/21/12,6.3
05/22/12,6.22
05/23/12,6.23
05/24/12,6.24
05/25/12,6.24
05/26/12,6.25
05/27/12,6.25
05/28/12,6.26
05/29/12,6.27
05/30/12,6.27
05/31/12,6.28
06/01/12,6.29
06/02/12,6.29
06/03/12,6.3
06/04/12,6.3
06/05/12,6.31
06/06/12,6.32
06/07/12,6.32
06/08/12,6.33
06/09/12,6.34
06/10/12,6.34
06/11/12,6.35
06/12/12,6.35
06/13/12,6.36
06/14/12,6.37
06/15/12,6.52
06/16/12,6.1
06/17/12,6.02
06/18/12,5.67
06/19/12,5.32
06/20/12,5.94
06/21/12,5.44
06/22/12,5.73
06/23/12,4.59
06/24/12,4.35
06/25/12,7.66
06/26/12,5.16
06/27/12,4.57
06/28/12,4.27
06/29/12,4.28
06/30/12,4
07/01/12,11.2
07/02/12,7.59
07/03/12,6.45
07/04/12,5.41
07/05/12,6.47
07/06/12,6.62
07/07/12,5.45
07/08/12,6.05
07/09/12,5.45
07/10/12,4.9
07/11/12,4.83
07/12/12,4.65
07/13/12,5.2
07/14/12,6.32
07/15/12,7.2
07/16/12,7.49
07/17/12,5.54
07/18/12,5.09
07/19/12,4.75
07/20/12,4.93
07/21/12,5.25
07/22/12,4.82
07/23/12,4.32
07/24/12,4.07
07/25/12,3.85
07/26/12,3.76
07/27/12,3.63
07/28/12,6.01
07/29/12,7.96
07/30/12,4.97
07/31/12,4.14
08/01/12,3.9
08/02/12,5.18
08/03/12,3.86
08/04/12,3.65
08/05/12,3.51
08/06/12,7.04
08/07/12,4.71
08/08/12,4.06
08/09/12,3.59
08/10/12,3.4
08/11/12,3.29
08/12/12,3.25
08/13/12,3.2
08/14/12,3.32
08/15/12,3.14
08/16/12,5.62
08/17/12,3.76
08/18/12,3.24
08/19/12,2.99
08/20/12,2.91
08/21/12,2.86
08/22/12,2.82
08/23/12,2.69
08/24/12,3.38
08/25/12,3.93
08/26/12,3.07
08/27/12,3.24
08/28/12,2.77
08/29/12,2.91
08/30/12,3.18
08/31/12,3.22
09/01/12,4.51
09/02/12,3.72
09/03/12,3.27
09/04/12,3.07
09/05/12,2.89
09/06/12,3.05
09/07/12,2.55
09/08/12,2.61
09/09/12,2.61
09/10/12,2.52
09/11/12,2.79
09/12/12,4.63
09/13/12,3.36
09/14/12,3.19
09/15/12,2.91
09/16/12,2.85
09/17/12,2.51
09/18/12,2.84
09/19/12,3.2
09/20/12,2.73
09/21/12,2.81
09/22/12,6.67
09/23/12,4.02
09/24/12,4.22
09/25/12,4.25
09/26/12,11.1
09/27/12,10.9
09/28/12,7.41
09/29/12,5.32
09/30/12,4.65
10/01/12,4.08
10/02/12,4.04
10/03/12,3.79
10/04/12,4.6
10/05/12,4.83
10/06/12,3.93
10/07/12,10.3
10/08/12,7.45
10/09/12,30.5
10/10/12,30.2
10/11/12,22.2
10/12/12,32.6
10/13/12,26.5
10/14/12,29
10/15/12,23.2
10/16/12,18.6
10/17/12,15.8
10/18/12,13.6
10/19/12,11.8
10/20/12,10.4
10/21/12,9.3
10/22/12,8.4
10/23/12,7.64
10/24/12,7.19
10/25/12,6.74
10/26/12,6.51
10/27/12,11.2
10/28/12,9.26
10/29/12,7.43
10/30/12,6.97
10/31/12,6.58
11/01/12,6.42
11/02/12,8.2
11/03/12,35.5
11/04/12,57.2
11/05/12,48.2
11/06/12,39.7
11/07/12,32.2
11/08/12,27.4
11/09/12,23.4
11/10/12,30.1
11/11/12,33.6
11/12/12,24.9
11/13/12,21.7
11/14/12,19.5
11/15/12,17.8
11/16/12,16.1
11/17/12,14.8
11/18/12,13.7
11/19/12,12.5
11/20/12,11.2
11/21/12,10.6
11/22/12,9.99
11/23/12,9.45
11/24/12,8.97
11/25/12,8.4
11/26/12,13.4
11/27/12,17.4
11/28/12,13.7
11/29/12,20.5
11/30/12,16.3
12/01/12,14.1
12/02/12,13.2
12/03/12,12.7
12/04/12,18.1
12/05/12,22.1
12/06/12,18.2
12/07/12,16
12/08/12,14.8
12/09/12,13.7
12/10/12,14.7
12/11/12,14.4
12/12/12,12.5
12/13/12,12
12/14/12,14.4
12/15/12,39.1
12/16/12,46.7
12/17/12,56.9
12/18/12,58
12/19/12,50
12/20/12,44.5
12/21/12,51.1
12/22/12,43
12/23/12,69.3
12/24/12,58
12/25/12,51.6
12/26/12,48.7
12/27/12,51.9
12/28/12,60
12/29/12,49.4
12/30/12,43.5
12/31/12,36.4
